Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Moth To A Flame (with The Weeknd),The Highlights (Deluxe),Swedish House Mafia,2/5/2021,USUG12105524,"1,056",46.8,861100951,"153,435","41,139,591",74,95899960,848696,35151,18345722,184453448,"2,623,975",122,"245,294",305,64,"3,075,152",47,"20,927,702","4,078","4,485,036","5,566,537",,0
WORTH IT (feat. Don Toliver),WORTH IT (feat. Don Toliver),Offset,10/12/2023,USUM72313166,"1,050",46.8,48339964,"24,760","10,056,008",,9010442,103229,,1020812,10073870,"1,861,090",21,"115,298",406,3,"905,920",10,"17,202,812","2,526",,"889,320",,1
Can���t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & ,Can���t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & S,Olivia Rodrigo,11/3/2023,USUG12307028,"1,053",46.8,259807712,"30,605","33,315,037",,9545403,163045,73845,85733614,538186129,,41,"12,664",,40,"592,661",29,"6,040,638","5,126","1,472,596","1,027,616",,0
Solteiro For��ado - (Boiadeira Internacio,Solteiro For��ado (Boiadeira Internacio,Ana Castela,7/7/2023,BX3022300019,"1,051",46.8,210195998,"10,723","12,965,116",65,291263121,1409361,33900,3996634,55226429,"1,201,657,034",6,"6,009",,22,"7,921,538",9,"1,736",,,"137,611",,0
"Naina (From ""Crew"")","Naina (From ""Crew"") - Single",Diljit Dosanjh,3/5/2024,INT102400827,"1,049",46.8,65661355,"2,351","12,360,484",76,89220257,546476,,,,"44,670,108",16,617,,2,"1,606",20,,,,"127,403",,0
Bel Bont El3areedh,Haflet Al'ahramat 2022 - Egypt,Hussain Aljassmi,12/19/2022,AEA142213346,"1,059",46.7,16119,5,411,6,634519417,4362725,,,,"2,105,270",,,,,,,,,,,,0
"Naa Ready (From ""Leo"")","Naa Ready (From ""Leo"")",Anirudh Ravichander,6/22/2023,INS172307161,"1,058",46.7,142430643,"6,611","5,093,444",64,347065741,4171813,,663,18800,"153,732,169",8,46,,,,18,"2,762",,,"101,174",,0
D��jala Que Vuelva (feat. Manuel Tur,D��jala Que Vuelva (feat. Manuel Tur,Piso 21,10/20/2017,MXF151700546,"1,061",46.6,871780891,"56,085","22,005,461",68,2169311851,4669074,137939,12865488,121241311,"206,887,325",41,123,55,46,"5,165,685",44,"28,752,324","9,678",,"1,867,651",,0
Feel the POP,You had me at HELLO,ZEROBASEONE,5/13/2024,KRA492400588,"1,060",46.6,8699917,533,"10,481,435",58,31498812,685645,,131400,329800,,5,101,9,4,"34,481",25,"1,443",16,"17,497","11,352",,0
Diamonds,Unapologetic (Edited Version),Rihanna,1/1/2012,USUM71211793,"1,063",46.5,1419912461,"180,128","62,951,327",70,2336257288,11532780,12421,899775,6890158,"404,667,689",164,"248,320",81,123,"1,169,312",53,"545,061,119","521,352",,"11,373,333",,0
Fuera del mercado,@dannocean,Danny Ocean,2/17/2022,USWL12200098,"1,064",46.5,535013440,"57,772","25,048,190",71,162236183,1010851,2681307,387587032,4479627831,"339,251,328",54,"28,857",327,32,"910,491",28,"1,646,419","1,389",,"1,371,874",,1
Poor People We,Poor People We,Harp and a monkey,11/28/2022,UKXN22273282,"1,062",46.5,1071,6,"1,694",,654777639,,,,,176,,2,,,,,,,,23,,0
El Cielo,El Cielo - Single,Sky Rompiendo,6/2/2023,USSD12300241,"1,068",46.4,354097795,"53,606","50,446,311",74,89166241,599270,26367,10289035,107126101,"9,653,765",64,"18,198",53,37,"398,533",19,"5,226,972",391,,"542,456",,1
ALL MY FELLAS,ALL MY FELLAS,Frizk,9/19/2023,QZTAZ2359846,"1,070",46.4,56978899,"19,534","2,505,224",,31575700,824524,1095900,77314395,641905367,"86,472,968",3,13,49,,,,"345,036","3,980",,"460,827",,1
Bebefinn Song,Bebefinn Song - Single,Pinkfong,5/3/2024,KRE672300203,"1,069",46.4,38895,8,611,,50007108,65432,,,,,1,,,,,,,,,,,0
BITTERSUITE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401987,"1,066",46.4,58810212,"3,394","9,510,078",87,,,97,,,,31,146,,5,"159,005",9,"161,908",138,"680,392","104,093",,0
Me Fui de Vacaciones,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214894,"1,067",46.4,366872354,"61,014","15,444,758",68,146768761,1402279,2232600,180281548,1794129686,"20,198,310",14,"8,167",,8,"482,273",7,"10,647,882","2,818","2,328,837","768,036",,0
Talk (feat. Disclosure),Talk,Khalid,2/7/2019,USRC11900004,"1,065",46.4,968194426,"121,168","29,487,473",64,468753245,3701432,622138,22886397,175481915,"364,423,555",171,"301,064",955,58,"635,116",73,"374,578,867","177,764",,"5,865,620",,0
Rompe La Dompe,Rompe La Dompe,Peso Pluma,12/28/2023,QMFMG2368181,"1,071",46.3,164219485,"11,966","20,373,836",,101560741,564659,,,,"414,178,081",15,643,,16,"13,007,504",11,"3,424,638","1,070",,"184,898",,1
greedy sped up,greedy,Tate McRae,9/14/2023,USRC12302740,"1,074",46.2,21648841,"2,778","2,506,076",,,,1992300,242655468,3067524132,,2,4,400,1,878,8,"608,904",447,,,,1
Reloj,Reloj,Rauw Alejandro,10/22/2020,USSD12000471,"1,072",46.2,579749218,"90,725","22,415,388",65,645701697,3354975,1567493,149903879,1294351127,"154,245,751",89,"16,280",13,22,"291,938",23,"47,558,473","9,485",,"1,542,421",,1
���������������������������,��������������������������� - Single,������������ ���������������������������,3/22/2024,THSOH2402582,"1,073",46.2,2730458,257,"128,196",,89974882,536584,,,,,1,,,,,,,,,"15,042",,0
You���re Mines Still (feat. ,You���re Mines Still (feat. ,Yung Bleu,10/15/2020,USWB12004394,"1,075",46.1,233139871,"77,694","13,955,396",63,425539008,2824144,98082,15980144,111422826,"42,967,196",53,"194,040",57,5,638,5,"155,675,259","46,530","25,280,506","523,078",,1
BADGYAL,SAKURA,SAIKO,4/26/2024,QM4TX2482887,"1,076",46.1,56282981,"5,849","51,387,051",80,13102384,110873,,,,"5,411,568",25,982,,11,"2,671,234",5,"3,698",9,,"279,219",,1
Sorry 4 The Wait,Sorry 4 The Wait,Lil Wayne,1/14/2022,USUG12106458,"1,079",46,24285898,"8,422","1,181,602",54,9750600,41196,917,97854,1029336,"2,034",1,104,,1,"23,919",,"16,796,873","965,499",,"211,234",,1
DILUVIO,PLAYA SATURNO,Rauw Alejandro,7/7/2023,USSD12300302,"1,078",46,310562790,"33,458","54,918,981",79,113130284,482647,148600,42427834,372688472,"784,575,181",55,"8,643",50,42,"3,054,645",43,"9,966,566","2,768","169,769","841,414",,1
ZEZE (feat. Travis Scott & Offset),ZEZE (feat. Travis Scott & Offset),Kodak Black,10/12/2018,USAT21811523,"1,080",46,1070685587,"203,323","32,147,932",71,494548432,4682485,1386205,55794187,463776007,"84,796,677",82,"72,133",90,27,"129,554",14,"235,258,481","117,224",,"4,235,259",,1
"Kesariya (From ""Brahmastra"")","Kesariya (From ""Brahmastra"") - Single",Pritam,7/17/2022,INS172203702,"1,084",46,516740949,"30,584","13,659,510",67,548697509,6082861,,,,"174,637,093",35,"2,050",,1,"1,097",13,"896,892",661,"3,338","372,802",,0
The Craving (single version),The Craving (single version) - Single,Twenty One Pilots,5/22/2024,USAT22403454,"1,083",46,9084595,"1,087","26,826,278",,11912619,302647,,,,"59,828,100",33,"7,678",15,20,"476,040",78,"1,346,719",92,,"35,315",,0
Bartolito,20 GRANDES ��X,Duo Tiempo de Sol,10/5/2015,ARF061500454,"1,082",46,70061366,"6,847","1,133,511",62,3257763799,9018759,,,,,2,199,,1,"3,695",,,,"17,519","73,794",,0
Peaches,The Super Mario Bros. Movie (Original Motion Picture Soundtrack),Jack Black,4/7/2023,USQ4E2204040,"1,077",46,144252786,"35,929","3,276,465",64,68229038,1462629,822942,255693787,3002241315,"17,180,346",17,,817,3,"146,493",10,"17,629,603","82,070","946,535","292,159",,0
Counting stars,Until the morning 2,OneRepublic,8/4/2014,FR0Z50017635,"1,081",46,,,,,4069201723,18144051,,,,"399,937,303",,,,1,180,,,,,,,0
Take My Breath - Single Version,Take My Breath,The Weeknd,8/5/2021,USUG12102076,"1,085",45.9,465348362,"89,586","17,062,402",57,218889957,2186587,42395,17828688,224955330,"2,420,528,253",151,"373,541",489,46,"2,548,365",44,"78,039,281","7,207",,,,0
Lavender Haze,Midnights,Taylor Swift,10/21/2022,USUG12205734,"1,090",45.9,711138043,"42,535","28,394,531",73,26695871,411132,90029,35207211,302181012,,66,"249,917","1,936",11,"844,207",54,"54,466,202","20,497",,"900,372",,1
KU LO SA - A COLORS SHOW,KU LO SA - A COLORS SHOW,Oxlade,6/10/2022,QMEU32209358,"1,089",45.9,331419634,"92,569","17,049,738",68,90820063,924838,582831,42516541,534189550,"51,539,371",116,"64,413",,47,"729,868",41,"6,105,145","2,592",,"4,816,359",,0
Toca o Trompete,Cad�� o After? P,Felipe Amorim,7/21/2023,BCOOP2300013,"1,087",45.9,166784328,"15,122","14,569,377",66,196927226,943630,482200,79195177,1222155154,"385,123,282",10,98,,19,"541,722",9,,,,"173,558",,1
Nobody Gets Me,SOS,SZA,12/9/2022,USRC12204598,"1,091",45.9,561645790,"58,561","39,587,642",82,79127644,867545,61070,32412474,220878489,"325,461,284",64,"61,047",293,40,"235,219",23,"20,725,484","11,445","3,758,963","1,208,187",,1
Sleep Well,Sleep Well - Single,CG5,2/16/2024,USA2P2406901,"1,086",45.9,19236234,"1,602","962,658",,114064058,1339987,,,,"1,352,193,313",,,,,,,"516,534","3,014",,"71,078",,0
Hei Apa Apa / Tik Tak Tik Tik,Nuansa Angkot 2023 - Vol. 1,Donny Fernanda,2/14/2023,FR59R2347368,"1,092",45.9,12415,1,2,,,,3817700,148462808,2586057582,,,,,,,,,,,,,0
Glock In My Lap,SAVAGE MODE II,21 Savage,10/2/2020,USSM12006061,"1,088",45.9,614603953,"164,722","24,902,576",78,164711656,1799801,45186,22453063,162296330,"40,458,162",25,940,,18,"196,078",3,"18,427,460","10,054","34,124,605","2,194,666",,1
overseas,overseas,Ken Carson,4/12/2024,USUM72403587,"1,095",45.8,35980441,"7,297","7,809,196",79,1080994,55353,,,,"381,728",6,,191,,,3,"107,128",302,"2,768,006","82,029",,1
CORAZ��N VA,CORAZ��N VA,Maria Becerra,6/22/2023,USWL12301086,"1,094",45.8,251442618,"19,913","23,463,750",71,209201810,958198,249263,61634866,541965678,"650,020,478",23,"16,628",354,20,"635,145",53,"188,360",75,,"209,753",,0
PUNTO G,Punto G,Quevedo,11/4/2022,BK4DA2202913,"1,096",45.8,600073400,"73,593","22,371,448",71,171936153,975795,181760,42088473,450971538,"1,034,742",24,"15,719",50,13,"194,411",29,"272,917",288,"97,391","529,802",,0
"Muqabla (From ""Street Dancer 3D"")","Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,12/21/2019,INS181905922,"1,093",45.8,102668822,"8,999","4,335,630",58,1111498706,6693422,4369880,26463521,557936748,"236,773,715",14,"2,014",,,,3,,,,"104,058",,0
Ditto,Ditto,NewJeans,12/19/2022,USA2P2254487,"1,098",45.7,614497357,"47,586","17,245,496",74,202069442,2934641,396808,179997019,1587051148,"226,112,613",44,"13,257",20,2,"34,632",42,"1,082,714","1,542",,"714,871",,0
"Katchi Sera - From ""Think Indie""","Katchi Sera (From ""Think Indie"")",Sai Abhyankkar,1/22/2024,INT202404272,"1,099",45.7,61447714,"2,592","5,382,316",,128967148,1382506,,,,"1,062,214,305",5,75,,,,11,,,,"311,293",,0
Danza Kuduro - Cover,BEST CLUB 2023 TREND MIX,MUSIC LAB JPN,11/24/2023,TCJPX2397668,"1,097",45.7,1642258500,11,127,,,,,,,,,,,,,,,,,,,1
Bubble Gum,How Sweet,NewJeans,5/24/2024,USA2P2414844,"1,101",45.6,20630900,"1,536","9,077,425",76,14185984,119016,,,,,21,3,5,2,"4,710",10,"48,314",41,"53,406","33,194",,0
Abejita Chiquitita,Las Canciones de Plim Plim Vol. 8,El Payaso Plim Plim,9/8/2023,ARLIB2220027,"1,102",45.6,5741262,275,"33,239",,272927101,395965,47200,343,11056,,,14,,1,"16,453",1,,,,"6,795",,0
Love wins all,Love wins all,IU,1/24/2024,KRA382400642,"1,100",45.6,60903416,"4,743","2,755,053",,122003102,4890890,,102500,712700,"749,176,444",15,,,1,"4,688",17,"66,751",159,,"120,507",,0
PRINCESITA DE ...,��NFASIS,Jere Klein,12/1/2023,QMFMF2334329,"1,103",45.5,106290197,"11,766","9,230,911",70,139655492,229044,,7,245,"1,565,966,519",4,388,,3,"122,602",,"85,692",48,,"195,908",,1
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,10/5/2021,USA2P2135437,"1,104",45.4,912709169,"94,302","33,979,642",67,410395727,3097097,75146,30651870,303742856,"265,630,925",69,"36,857",265,18,"995,698",35,"26,070,209","7,871",,"1,218,835",,1
BABY HELLO,BABY HELLO - Single,Rauw Alejandro,6/23/2023,USSD12300274,"1,105",45.3,268383799,"47,936","46,787,442",68,69047745,591951,23400,9362518,103169265,"21,328,855",61,"39,321",6,37,"817,012",36,"3,542,840",631,,"933,823",,1
ONE CALL,ONE CALL,Rich Amiri,11/3/2023,QZJ842004052,"1,106",45.2,271566931,"33,970","50,694,559",80,24725245,376377,,1459319,8704294,"9,242,912",15,824,75,14,"1,420,429",25,"259,065","1,200",,"817,705",,1
Pehle Bhi Main,ANIMAL,Vishal Mishra,11/24/2023,INS182303389,"1,111",45.2,235472222,"10,873","14,151,452",77,134079122,998592,,,,"299,391,668",14,480,,,,,,,,"300,188",,0
Kill Bill,Kill Bill - Single,pasa michaelson,8/26/2023,GB8KE2318565,"1,156",45.2,1842758768,1,1,,,,,,,,,,,,,,,,,,,1
2/Catorce,2/Catorce,Rauw Alejandro,2/14/2021,USSD12100059,"1,107",45.2,534981600,"92,466","17,067,105",64,607206864,3535828,833539,233010597,2285726710,"149,174,449",74,"9,184",,13,"245,959",32,"41,372,873","8,091",,"1,847,960",,1
Ride,Ride,Twenty One Pilots,5/12/2015,USAT21500598,"1,110",45.2,1724766252,"240,346","62,583,866",79,1832805733,14628417,473867,64556528,515516585,"186,902,563",7,"156,588",225,63,"409,611",33,,,,,,0
Dusk Till Dawn (feat. Sia),Dusk Till Dawn (feat. Sia) - Single,ZAYN,9/8/2017,USRC11701783,"1,108",45.2,7660758,"2,412","584,352",36,2384906510,17393433,1352318,224835071,2577621675,"1,411,686,500",,"51,698",2,,,5,,,,,,0
Rush,Rush,Troye Sivan,7/13/2023,AUUM72300170,"1,109",45.2,299291405,"45,754","35,127,971",28,59684881,1156874,37300,31430262,341762321,"635,932,163",106,"22,607",649,65,"1,709,032",66,"741,956","1,616",,"1,347,624",,1
Physical,Physical,Dua Lipa,1/30/2020,GBAHT1901298,"1,115",45.1,967029446,"108,666","29,267,130",71,570687048,4489378,159047,39077139,430832681,"412,519,641",231,"334,802",67,172,"2,365,006",57,"40,101,832","10,420",,"5,988,911",,0
Pumped Up Kicks,Pumped up Kicks,Foster The People,1/1/2010,USSM11002931,"1,113",45.1,1791778314,"344,490","131,726,745",81,599930123,5713061,786192,342804034,2757623631,"19,949,320",195,"121,067",167,148,"1,029,351",46,"777,542,552","1,767,555",,"16,415,660",,0
Yes Indeed,Yes Indeed,Lil Baby,5/15/2018,USUM71806749,"1,112",45.1,1110994645,"186,456","41,273,853",74,143629586,1388832,38775,25188899,194904663,"38,496,063",85,"67,860",186,16,"35,032",44,"425,125,110","171,069","54,088,502","3,561,319",,1
Open Arms (feat. Travis Scott),SOS,SZA,12/8/2022,USRC12204602,"1,114",45.1,418181065,"67,858","17,377,077",76,87097570,675742,79800,21397764,155757311,"3,034,510",14,374,,17,"190,364",2,"4,424,141","8,503","7,784,284","1,272,704",,0
edamame (feat. Rich Brian),edamame,bbno$,7/24/2021,QMUY42100151,"1,117",45,460770585,"137,449","12,880,333",9,129095680,2000723,697200,509554628,5783885492,"165,344,404",24,"98,034","1,191",,,12,"2,857,509","9,193",,"5,556,466",,1
Turn Down for What,Turn Down for What,DJ Snake,12/18/2013,USSM11308174,"1,116",45,547207250,"103,666","30,719,577",65,1350062601,11897425,962796,124466320,1943093911,"194,386,199",135,"23,064",113,53,"264,794",55,"411,609,954","1,482,573","1,150,036","14,799,660",,0
Calling (feat. A Boogie wit da Hoodie) [Spider-Man: Across the Spider-Verse],METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,6/2/2023,USUM72308543,"1,120",44.9,234350961,"56,138","13,361,149",69,60645740,770219,,,,"82,193,348",59,"29,888",59,13,"56,586",35,"6,384,645","3,482",,"1,068,077",,0
Smokin Out The Window,Smokin Out The Window,Bruno Mars,11/5/2021,USAT22105952,"1,121",44.9,463977298,"100,305","15,798,103",66,219573887,2918828,946,4609516,26701713,"3,233,086,776",81,"188,300",388,38,"1,242,910",46,"39,063,749","21,956",,"1,849,092",,0
Goin' Off,Goin' Off,Karan Aujla,5/9/2024,AUBEC2438653,"1,118",44.9,13606839,836,"4,594,419",70,32342705,498580,,,,"19,904,542",14,59,,,,13,,,,"33,780",,0
Close To You,Close To You,Gracie Abrams,6/7/2024,USUG12401775,"1,119",44.9,13700065,"1,162","89,144,538",74,466102,38791,,,,,69,147,,16,"683,316",86,"39,776",59,18,"69,456",,0
Pagli Dekhave Agarbatti,Pagli Dekhave Agarbatti,Neelkamal Singh,9/28/2023,INH102313673,"1,124",44.8,20981562,379,"284,348",,272841611,1275934,,,,"182,061,559",,,,,,,,,,,,0
From The D To The A (feat. Lil Yachty),From The D To The A (feat. Lil Yachty),Tee Grizzley,3/17/2017,QMCE31700982,"1,122",44.8,364325529,"83,638","10,924,243",64,29708407,206341,42311,2417700,16341869,"3,111,436",15,109,,2,468,,"131,664,821","48,173","222,229,993","891,593",,1
Me Reh��,Los N��meros 1 De Los 40 (Music Inspires L,Danny Ocean,11/3/2017,USWL11900076,"1,126",44.8,1778934858,"37,040","21,117,726",74,1915123572,6102709,261323,17109874,158762431,"484,024,351",12,165,,9,"21,285",10,"66,752,966","47,350",,"6,246,243",,0
Nonsense,emails i can't send,Sabrina Carpenter,7/15/2022,USUM72210708,"1,129",44.8,817286460,"55,620","61,610,668",83,156580179,1685462,179864,36883907,357890160,"201,230,072",67,"108,203","1,122",20,"787,687",44,"33,407,481","8,860",,"1,180,048",,0
Run It Up (feat. Offset & Moneybagg Yo),Destined 2 Win,Lil Tjay,4/2/2021,USSM12101540,"1,127",44.8,392745531,"141,221","21,996,686",67,96203913,1246093,44979,17567842,137477748,"54,251,921",21,"1,558",3,8,"131,260",2,"10,758,226","10,750","39,475,086","1,432,080",,1
Lose You To Love Me,Lose You To Love Me,Selena Gomez,10/23/2019,USUM71918727,"1,123",44.8,1222228366,"109,325","48,327,775",72,569150755,10176233,210846,55268559,519924812,"832,957,854",174,"220,765",169,66,"1,080,455",84,"191,725,976","77,455","959,144","3,669,533",,0
Worth It,Worth It,YK Osiris,2/8/2019,USUM71821752,"1,125",44.8,340112388,"66,487","6,617,103",60,283340446,3313053,576099,18279931,132694197,"41,301,726",28,"11,151",32,5,"7,457",2,"171,927,306","162,394","103,378,626","1,660,493",,0
Fight The Feeling,Fight The Feeling,Rod Wave,3/31/2023,USQX92301922,"1,128",44.8,86327319,"18,112","2,247,123",51,65828097,457580,179400,15991452,137960911,"377,095,739",18,"100,880","1,989",8,"929,184",10,"34,839,558","18,952","12,848,106","567,245",,1
Axel F,Best of Crazy Hits,Crazy Frog,12/11/2009,DEAF71578230,"1,134",44.7,178536020,870,"142,649",30,5049428366,20305999,,,,"204,191,511",1,,,,,,,,,"2,967,336",,0
Robbery,Robbery,Juice WRLD,2/13/2019,USUG11900302,"1,131",44.7,1306374052,"213,493","32,159,591",73,606402216,5432558,287303,40611392,281781468,"46,631,449",45,113,198,36,"92,676",7,"63,372,791","172,183",,"1,815,403",,1
Bebe Dame,Bebe Dame - Single,Fuerza Regida,12/16/2022,QZ9QQ2200182,"1,132",44.7,562099076,"51,229","20,388,246",70,11080081,68671,623600,146379790,1746059702,,49,"15,119",36,18,"2,487,813",17,"98,549,626","29,193",,"2,289,240",,0
Green Green Grass,george ezra songs to play when the sun's out,George Ezra,3/22/2022,GBARL2200008,"1,133",44.7,300430813,"50,552","12,812,123",69,103550086,844925,1664351,248347598,3375488113,"2,854,520,083",51,"182,474",46,29,"1,067,030",27,"1,947,849","12,347","2,041,978","2,071,865",,0
Zihaal e Miskin,Zihaal e Miskin,Javed-Mohsin,5/25/2023,INUM72300284,"1,135",44.7,110644306,"4,432","3,741,353",65,367432386,4091411,,,,"85,756,632",,546,,,,4,776,12,,"184,497",,0
Fiel,Los Legendarios 001,Los Legendarios,2/4/2021,QM4TW2136314,"1,130",44.7,642558596,"106,151","40,485,324",64,357508658,2089382,1884605,309769907,2853555921,"56,447,780",77,"45,631",45,24,"1,535,610",30,"24,779,220","8,899",,"2,242,149",,0
Neverita,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214882,"1,139",44.6,831868563,"93,211","21,780,286",73,181498962,1237772,115200,87502749,985066343,"21,690,461",36,"30,945",391,12,"806,258",5,"23,282,331","5,780",,"1,247,731",,0
2002 - Remix,2002 (Remix),Shaun Reynolds,5/11/2018,QZ22B1944940,"1,136",44.6,303962,88,"6,796",8,,,16501062,9430921,137616390,,,,,,,,,,,260,,0
No Se Va,No Se Va,Grupo Frontera,12/1/2022,USDA12211641,"1,137",44.6,51750,67,"3,924",,610569249,2662885,,,,"41,692,770",,547,,,,,,,,,,0
Infinity,Feel Something,Jaymes Young,6/23/2017,USAT21700859,"1,138",44.6,1059940209,"169,454","48,961,048",74,569314714,6558074,5441674,1889279204,22241102823,"464,030,450",15,"191,784",556,46,"991,994",6,"54,462,943","18,444",,"8,764,483",,0
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Highlights (Deluxe),The Weeknd,2/5/2021,USUG12303876,"1,142",44.5,812954133,"137,681","53,947,304",81,66369681,851906,564129,71837599,797041217,"504,465,645",147,"78,013",7,43,"1,369,406",47,"2,985,202","7,888","8,817,729","6,377,668",,1
adore u,adore u,Fred again..,8/11/2023,GBAHS2300908,"1,141",44.5,129427492,"44,672","48,826,452",71,10933079,80021,29740,8528307,135983684,"82,845,102",69,"43,488",3,34,"206,415",46,"801,851",219,"3,403,946","663,446",,0
Numb Little Bug,Numb Little Bug,Em Beihold,1/28/2022,USUM72200626,"1,143",44.5,360584207,"68,868","18,801,509",66,41254765,1015183,177123,69378146,667895022,"8,474,222",34,"350,811","2,116",19,"22,388",37,"73,893,449","39,102",,"2,132,903",,0
Feel It,Feel It (From The Original Series ���Invincib,d4vd,3/28/2024,USUM72401132,"1,140",44.5,110377644,"8,980","78,939,536",,10803398,190363,,554400,4211900,"21,866,966",41,"6,146",44,54,"6,402,152",55,"658,798",745,,"363,083",,0
Loco Contigo (feat. J. Balvin & Tyga),"Loco Contigo (with J. Balvin, feat. Tyga)",DJ Snake,6/13/2019,USUG11901580,"1,144",44.4,822696809,"141,261","26,970,098",68,587804570,5432716,806169,35719393,404031807,"532,691,572",184,"98,937",124,117,"1,507,919",27,"131,125,635","26,028","10,568,592","6,782,620",,0
Faz um Vuk Vuk (Teto Espelhado),Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris,7/20/2023,BX5EU2300034,"1,145",44.4,222879686,"26,854","23,489,333",68,183254308,938331,80100,22478680,315723211,"23,002,967",16,"1,586",,31,"3,017,351",19,"2,970",8,,"130,095",,1
Suicidal,Melly vs. Melvin,YNW Melly,11/22/2019,QMCE31902585,"1,146",44.4,572441305,"113,061","13,801,176",67,317626075,4533617,4475534,218106950,1659032393,"7,772,461",20,"2,061",54,4,"71,838",4,"25,773,932","131,617",,"2,287,665",,1
"Photo (From ""Luka Chuppi"")","Photo (From ""Luka Chuppi"")",Karan Sehmbi,2/12/2019,INS181900313,"1,149",44.3,72849488,"9,804","2,252,266",54,329389939,2348757,11600000,10188221,246534268,"93,651,376",13,646,,,,3,,,,"215,757",,0
Sky,Whole Lotta Red,Playboi Carti,12/25/2020,USUM72024699,"1,147",44.3,710319373,"209,136","30,701,216",74,183959519,2671075,154135,62458934,363975031,"280,367,116",31,"1,582",59,10,"187,089",14,"2,766,036","16,909",,"1,537,393",,1
Love On,Love On,Selena Gomez,2/22/2024,USUM72318034,"1,148",44.3,45878045,"3,731","26,039,293",,18082083,515908,,,,"2,436,411,201",50,"69,439",150,58,"12,329,759",45,"3,662,491",523,,"350,842",,0
Payphone,Overexposed Track By Track,Maroon 5,1/1/2012,USUM71203347,"1,153",44.2,1828026153,"249,663","71,678,167",78,1051247406,7080472,93015,49072987,397860038,"1,568,063,711",58,"83,578",135,112,"258,125",28,"667,632,597","1,019,888","20,102,563","11,327,684",,1
Brickell,MANIFESTING 20-05,Feid,4/10/2024,USUG12402595,"1,150",44.2,59546208,"5,064","62,237,863",79,26823878,171145,,,,"28,104,439",32,"2,379",13,15,"3,085,319",14,"1,007,570",344,"16,525","259,017",,1
I Like Me Better,I Like Me Better,Lauv,5/19/2017,GBWWP1702907,"1,152",44.2,1784308411,"157,818","34,910,721",75,837720618,7077307,573681,117065490,886160801,"145,737,544",92,"225,675",241,34,"251,654",24,"334,762,962","97,867",,"7,684,583",,0
RUNAWAY,RUNAWAY,OneRepublic,5/26/2023,USUM72304684,"1,154",44.2,127466467,"16,650","19,684,494",67,13668402,152488,2331,518049,9346042,"179,672,192",57,"259,287",710,43,"1,138,179",12,"19,337,777","2,084",,"1,350,255",,0
Que Se Cuide,Que Se Cuide,Luis R Conriquez,5/3/2024,QZNJV2414655,"1,151",44.2,36145614,"1,566","48,637,114",77,26390813,239853,,,,"125,856,157",3,63,,2,"1,556,280",,"1,069,762","1,047",,"178,962",,0
Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,6/7/2019,AUFXV1900105,"1,155",44.1,,"31,705","3,101,433",,,,12423100,1733925285,22817879063,,3,,,4,372,,,,,,,0
On My Love,On My Love (Sped Up),Zara Larsson,9/12/2023,USSM12306769,"1,159",44.1,128024416,"20,826","60,798,732",7,14394570,139320,3966,507857,8090936,"1,176,532,287",73,"129,069",77,82,"4,576,277",48,"1,333,245",192,"1,668,042","934,544",,0
She Share Story,She Share Story,Shayne Orok,6/2/2020,QZHN52089091,"1,156",44.1,,"2,443","424,979",33,238798,10479,10715800,2844924215,33201904006,,,1,,1,"3,316",,"12,694",,,,,0
Mujeriego,Mujeriego - Single,Ryan Castro,12/17/2021,COSO12100328,"1,158",44.1,285723562,"63,343","16,024,245",63,316060497,3601489,1645802,630242190,6484877304,"43,034,965",32,"17,619",715,28,"11,861,287",24,"2,371,513","4,437",,"3,132,192",,0
Miss The Rage (feat. Playboi Carti),Miss The Rage,Trippie Redd,5/7/2021,QZJ842000983,"1,160",44.1,535695469,"188,778","26,774,987",6,171889127,3367746,155446,113564973,1011224005,"112,767,017",58,"3,186",9,15,"112,154",1,"7,839,291","15,078",,"1,525,672",,1
TUTA GOLD,TUTA GOLD,Mahmood,2/7/2024,ITUM72400066,"1,157",44.1,95029509,"5,218","9,118,781",65,73263450,405639,,,,"965,737,153",28,"19,714",,13,"3,804,779",25,,,,"279,900",,0
